res_state,res_county,county_fips_code,case_month,total_cases,deaths,hospitalizations,icu_admissions
AK,ANCHORAGE,02020,2020-07-01,19,0,1,0
AK,ANCHORAGE,02020,2020-08-01,54,0,6,2
AK,ANCHORAGE,02020,2020-09-01,57,0,1,1
AK,ANCHORAGE,02020,2020-10-01,169,0,7,4
AK,ANCHORAGE,02020,2020-11-01,220,0,3,1
AK,ANCHORAGE,02020,2020-12-01,94,0,4,1
AK,ANCHORAGE,02020,2021-01-01,14,0,0,0
AK,ANCHORAGE,02020,2021-02-01,59,0,1,0
AK,ANCHORAGE,02020,2021-03-01,12,0,0,0
AK,ANCHORAGE,02020,2021-06-01,15,0,0,0
AK,ANCHORAGE,02020,2021-07-01,79,0,3,0
AK,ANCHORAGE,02020,2021-08-01,171,0,4,0
AK,ANCHORAGE,02020,2021-09-01,386,0,3,0
AK,ANCHORAGE,02020,2021-10-01,162,11,14,0
AK,ANCHORAGE,02020,2021-11-01,67,0,2,0
AK,ANCHORAGE,02020,2021-12-01,41,0,0,0
AK,ANCHORAGE,02020,2022-01-01,450,0,3,0
AK,ANCHORAGE,02020,2022-02-01,39,0,0,0
AK,ANCHORAGE,02020,2022-04-01,23,0,0,0
AK,ANCHORAGE,02020,2022-05-01,47,0,0,0
AK,ANCHORAGE,02020,2022-06-01,6,0,0,0
AK,ANCHORAGE,02020,2022-07-01,11,0,0,0
AK,ANCHORAGE,02020,2022-08-01,46,0,1,0
AK,ANCHORAGE,02020,2022-09-01,11,0,0,0
AK,ANCHORAGE,02020,2022-10-01,19,0,0,0
AK,ANCHORAGE,02020,2023-03-01,31,0,0,0
AK,ANCHORAGE,02020,2023-04-01,89,0,0,0
AK,ANCHORAGE,02020,2023-10-01,16,0,0,0
AK,ANCHORAGE,02020,2024-01-01,50,0,0,0
AK,FAIRBANKS NORTH STAR,02090,2021-09-01,11,0,0,0
AK,FAIRBANKS NORTH STAR,02090,2022-01-01,16,0,0,0
AK,JUNEAU,02110,2021-09-01,6,0,0,0
AK,JUNEAU,02110,2022-01-01,16,0,0,0
AK,JUNEAU,02110,2022-07-01,5,0,0,0
AK,KENAI PENINSULA,02122,2020-11-01,2,0,0,0
AK,KENAI PENINSULA,02122,2020-12-01,3,0,0,0
AK,KENAI PENINSULA,02122,2021-08-01,14,0,0,0
AK,KENAI PENINSULA,02122,2022-01-01,8,0,0,0
AK,MATANUSKA-SUSITNA,02170,2020-07-01,5,0,0,0
AK,MATANUSKA-SUSITNA,02170,2021-03-01,12,0,0,0
AK,MATANUSKA-SUSITNA,02170,2023-03-01,10,0,0,0
