state,month,age_group,total_cases,deaths,hospitalized
Arizona,2020-06-01,18 to 49 years,282,0,4
Arizona,2020-06-01,50 to 64 years,34,0,2
Arizona,2020-11-01,18 to 49 years,999,0,97
Arizona,2021-11-01,18 to 49 years,348,0,0
Arizona,2022-02-01,65+ years,140,0,12
Arizona,2023-09-01,18 to 49 years,43,0,0
Arizona,2023-10-01,65+ years,59,0,7
Arizona,2024-01-01,65+ years,72,0,7
Arizona,2024-02-01,65+ years,22,0,4
California,2020-05-01,18 to 49 years,14,0,1
California,2020-05-01,50 to 64 years,565,0,49
California,2020-07-01,0 - 17 years,21,0,0
California,2020-07-01,18 to 49 years,1464,0,27
California,2020-07-01,50 to 64 years,16,0,1
California,2020-08-01,18 to 49 years,660,0,26
California,2020-09-01,0 - 17 years,12,0,0
California,2020-09-01,65+ years,151,0,30
California,2020-11-01,18 to 49 years,55,0,0
California,2020-12-01,65+ years,74,10,12
California,2021-01-01,0 - 17 years,94,0,2
California,2021-01-01,50 to 64 years,1,0,0
California,2021-02-01,50 to 64 years,34,0,4
California,2021-03-01,50 to 64 years,33,0,1
California,2021-04-01,18 to 49 years,13,0,1
California,2021-05-01,18 to 49 years,42,0,3
California,2021-07-01,18 to 49 years,749,0,25
California,2021-11-01,50 to 64 years,81,0,1
California,2021-12-01,18 to 49 years,88,0,0
California,2022-01-01,0 - 17 years,175,0,1
California,2022-01-01,18 to 49 years,1966,0,1
California,2022-01-01,50 to 64 years,25,0,0
California,2022-01-01,65+ years,184,0,10
California,2022-01-01,Missing,17,0,0
California,2022-02-01,0 - 17 years,13,0,1
California,2022-02-01,18 to 49 years,470,0,16
California,2022-05-01,18 to 49 years,248,0,0
California,2022-06-01,0 - 17 years,798,0,4
California,2022-06-01,18 to 49 years,62,0,1
California,2022-07-01,18 to 49 years,1249,0,0
California,2022-07-01,50 to 64 years,21,0,0
California,2022-08-01,18 to 49 years,296,0,1
California,2022-08-01,50 to 64 years,273,0,7
California,2022-08-01,65+ years,18,0,1
California,2022-10-01,0 - 17 years,99,0,0
California,2022-10-01,50 to 64 years,32,0,0
California,2022-11-01,0 - 17 years,137,0,0
California,2022-12-01,0 - 17 years,330,0,2
California,2022-12-01,18 to 49 years,489,0,1
California,2022-12-01,50 to 64 years,248,0,0
California,2023-01-01,65+ years,70,0,0
California,2023-03-01,0 - 17 years,12,0,0
California,2023-05-01,18 to 49 years,114,0,0
California,2023-05-01,65+ years,20,0,0
California,2023-06-01,0 - 17 years,16,0,0
California,2023-08-01,50 to 64 years,120,0,0
California,2023-10-01,65+ years,330,0,48
Florida,2021-07-01,65+ years,555,41,86
Florida,2021-08-01,18 to 49 years,1401,0,25
Florida,2021-11-01,18 to 49 years,159,0,2
Florida,2022-01-01,18 to 49 years,1841,0,0
Florida,2023-11-01,50 to 64 years,43,0,0
Illinois,2020-03-01,18 to 49 years,305,0,66
Illinois,2020-07-01,18 to 49 years,153,0,6
Illinois,2020-10-01,50 to 64 years,2,0,0
Illinois,2020-11-01,65+ years,422,63,30
Illinois,2020-12-01,0 - 17 years,417,0,6
Illinois,2021-03-01,18 to 49 years,61,0,2
Illinois,2021-08-01,0 - 17 years,1,0,0
Illinois,2021-12-01,65+ years,56,0,4
Illinois,2022-05-01,0 - 17 years,130,0,0
Illinois,2022-08-01,50 to 64 years,345,0,10
Illinois,2022-09-01,0 - 17 years,168,0,3
Illinois,2022-09-01,18 to 49 years,131,0,2
Illinois,2022-09-01,65+ years,275,0,22
Illinois,2022-10-01,18 to 49 years,87,0,1
Illinois,2023-02-01,18 to 49 years,120,0,1
Illinois,2023-02-01,50 to 64 years,145,0,5
Illinois,2023-02-01,65+ years,86,0,18
Illinois,2023-04-01,0 - 17 years,18,0,1
Illinois,2024-01-01,65+ years,80,0,14
Massachusetts,2020-09-01,65+ years,46,0,11
Massachusetts,2020-10-01,65+ years,179,20,22
Massachusetts,2021-05-01,65+ years,48,0,14
Massachusetts,2022-03-01,65+ years,211,11,16
Massachusetts,2022-05-01,50 to 64 years,530,0,1
Massachusetts,2022-10-01,18 to 49 years,353,0,2
Massachusetts,2022-12-01,50 to 64 years,1,0,0
Massachusetts,2023-01-01,65+ years,302,22,23
Massachusetts,2023-04-01,0 - 17 years,41,0,0
Massachusetts,2024-01-01,50 to 64 years,204,0,1
Massachusetts,2024-02-01,18 to 49 years,85,0,0
Michigan,2020-06-01,18 to 49 years,53,0,0
Michigan,2020-06-01,65+ years,38,0,11
Michigan,2020-10-01,18 to 49 years,13,0,1
Michigan,2021-06-01,50 to 64 years,34,0,1
Michigan,2021-11-01,18 to 49 years,964,0,0
Michigan,2022-03-01,50 to 64 years,31,0,0
Michigan,2022-07-01,0 - 17 years,16,0,0
Michigan,2022-07-01,50 to 64 years,542,0,1
Michigan,2023-02-01,0 - 17 years,16,0,0
Michigan,2023-02-01,Missing,109,0,0
Michigan,2023-03-01,18 to 49 years,46,0,0
Michigan,2023-10-01,0 - 17 years,11,0,0
