state,week,vaccinated,fully_vaccinated
Alabama,2021-01-01,298301.0,55331.0
Alabama,2021-02-01,649745.0,313290.0
Alabama,2021-03-01,1155139.0,656899.0
Alabama,2021-04-01,1589518.0,1143488.0
Alabama,2021-05-01,0.0,0.0
Alabama,2021-06-01,1954166.0,1594625.0
Alabama,2021-07-01,2117044.0,1683584.0
Alabama,2021-08-01,2442247.0,1880276.0
Alabama,2021-09-01,2583590.0,2089852.0
Alabama,2021-10-01,2673656.0,2195532.0
Alabama,2021-11-01,2772024.0,2264466.0
Alabama,2021-12-01,0.0,0.0
Alabama,2022-01-01,3000205.0,2425057.0
Alabama,2022-02-01,3034896.0,2463410.0
Alabama,2022-03-01,3053982.0,2484171.0
Alabama,2022-04-01,3074526.0,2505234.0
Alabama,2022-05-01,3088830.0,2519536.0
Alabama,2022-06-01,0.0,0.0
Alabama,2022-07-01,0.0,0.0
Alabama,2022-08-01,3135199.0,2557143.0
Alabama,2022-09-01,0.0,0.0
Alabama,2022-10-01,0.0,0.0
Alabama,2022-11-01,3171595.0,2593348.0
Alabama,2022-12-01,0.0,0.0
Alabama,2023-01-01,0.0,0.0
Alabama,2023-02-01,0.0,0.0
Alabama,2023-03-01,0.0,0.0
Alabama,2023-04-01,0.0,0.0
Alabama,2023-05-01,3193141.0,2611593.0
Alaska,2021-01-01,94889.0,24545.0
Alaska,2021-02-01,166735.0,97554.0
Alaska,2021-03-01,248711.0,163100.0
Alaska,2021-04-01,305395.0,256564.0
Alaska,2021-05-01,0.0,0.0
Alaska,2021-06-01,358311.0,313709.0
Alaska,2021-07-01,376882.0,333092.0
Alaska,2021-08-01,396543.0,345364.0
Alaska,2021-09-01,419056.0,370114.0
Alaska,2021-10-01,434826.0,385131.0
Alaska,2021-11-01,459412.0,396688.0
Alaska,2021-12-01,0.0,0.0
Alaska,2022-01-01,0.0,0.0
Alaska,2022-02-01,501398.0,446095.0
Alaska,2022-03-01,506583.0,451313.0
Alaska,2022-04-01,510557.0,455667.0
Alaska,2022-05-01,512315.0,458720.0
Alaska,2022-06-01,0.0,0.0
Alaska,2022-07-01,0.0,0.0
Alaska,2022-08-01,523022.0,463588.0
Alaska,2022-09-01,0.0,0.0
Alaska,2022-10-01,0.0,0.0
Alaska,2022-11-01,530653.0,474042.0
Alaska,2022-12-01,0.0,0.0
Alaska,2023-01-01,0.0,0.0
Alaska,2023-02-01,0.0,0.0
Alaska,2023-03-01,0.0,0.0
Alaska,2023-04-01,0.0,0.0
Alaska,2023-05-01,535718.0,477592.0
Arizona,2021-01-01,500942.0,92666.0
Arizona,2021-02-01,1220706.0,525426.0
Arizona,2021-03-01,2157694.0,1242599.0
Arizona,2021-04-01,2960823.0,2106896.0
Arizona,2021-05-01,0.0,0.0
Arizona,2021-06-01,3607576.0,2929104.0
Arizona,2021-07-01,3862065.0,3294048.0
Arizona,2021-08-01,4126485.0,3485349.0
Arizona,2021-09-01,4315832.0,3718393.0
Arizona,2021-10-01,4459210.0,3866294.0
Arizona,2021-11-01,4680309.0,3979250.0
Arizona,2021-12-01,0.0,0.0
Arizona,2022-01-01,5105550.0,4282544.0
Arizona,2022-02-01,5202031.0,4375888.0
Arizona,2022-03-01,5259692.0,4434102.0
Arizona,2022-04-01,5315826.0,4480899.0
Arizona,2022-05-01,5359969.0,4513941.0
Arizona,2022-06-01,0.0,0.0
Arizona,2022-07-01,0.0,0.0
Arizona,2022-08-01,5493903.0,4594484.0
Arizona,2022-09-01,0.0,0.0
Arizona,2022-10-01,0.0,0.0
Arizona,2022-11-01,5579783.0,4773539.0
