state,week,infected,deaths
Alabama,2020-01-01,0.0,0.0
Alabama,2020-02-01,0.0,0.0
Alabama,2020-03-01,472.0,1.0
Alabama,2020-04-01,6979.0,255.0
Alabama,2020-05-01,16263.0,583.0
Alabama,2020-06-01,32878.0,886.0
Alabama,2020-07-01,84652.0,1539.0
Alabama,2020-08-01,119904.0,2043.0
Alabama,2020-09-01,154772.0,2530.0
Alabama,2020-10-01,188775.0,2909.0
Alabama,2020-11-01,239318.0,3528.0
Alabama,2020-12-01,356820.0,4774.0
Alabama,2021-01-01,449087.0,7169.0
Alabama,2021-02-01,490165.0,9741.0
Alabama,2021-03-01,515353.0,10547.0
Alabama,2021-04-01,527085.0,10876.0
Alabama,2021-05-01,542828.0,11132.0
Alabama,2021-06-01,550979.0,11350.0
Alabama,2021-07-01,577463.0,11508.0
Alabama,2021-08-01,665653.0,12000.0
Alabama,2021-09-01,794773.0,14200.0
Alabama,2021-10-01,828643.0,15432.0
Alabama,2021-11-01,844206.0,16099.0
Alabama,2021-12-01,880307.0,16453.0
Alabama,2022-01-01,1161930.0,16914.0
Alabama,2022-02-01,1275357.0,18006.0
Alabama,2022-03-01,1295015.0,19284.0
Alabama,2022-04-01,1300274.0,19558.0
Alabama,2022-05-01,1310521.0,19651.0
Alabama,2022-06-01,1355340.0,19740.0
Alabama,2022-07-01,1419075.0,19890.0
Alabama,2022-08-01,1479605.0,20048.0
Alabama,2022-09-01,1517904.0,20395.0
Alabama,2022-10-01,1531305.0,20533.0
Alabama,2022-11-01,1549285.0,20652.0
Alabama,2022-12-01,1573637.0,20757.0
Alabama,2023-01-01,1610535.0,20870.0
Alabama,2023-02-01,1638348.0,20932.0
Alabama,2023-03-01,1650449.0,21127.0
Alabama,2023-04-01,1657175.0,21133.0
Alabama,2023-05-01,1659936.0,21138.0
Alaska,2020-01-01,0.0,0.0
Alaska,2020-02-01,0.0,0.0
Alaska,2020-03-01,63.0,1.0
Alaska,2020-04-01,355.0,9.0
