fips_code,county_name,state_code,estimated_hesitant,estimated_hesitant_or_unsure,estimated_strongly_hesitant,social_vulnerability_index,svi_category,ability_to_handle_a_covid,cvac_category
01123,"Tallapoosa County, Alabama",AL,0.1806,0.24,0.1383,0.89,Very High Vulnerability,0.64,High Concern
01121,"Talladega County, Alabama",AL,0.1783,0.235,0.1368,0.87,Very High Vulnerability,0.84,Very High Concern
01131,"Wilcox County, Alabama",AL,0.1735,0.2357,0.1337,0.93,Very High Vulnerability,0.94,Very High Concern
01129,"Washington County, Alabama",AL,0.1735,0.2357,0.1337,0.73,High Vulnerability,0.82,Very High Concern
01119,"Sumter County, Alabama",AL,0.1808,0.2526,0.139,0.96,Very High Vulnerability,0.96,Very High Concern
01133,"Winston County, Alabama",AL,0.1805,0.2313,0.1379,0.7,High Vulnerability,0.8,High Concern
01127,"Walker County, Alabama",AL,0.1855,0.2404,0.1431,0.75,High Vulnerability,0.68,High Concern
02013,"Aleutians East Borough, Alaska",AK,0.2361,0.2884,0.1704,0.58,Moderate Vulnerability,0.87,Very High Concern
01117,"Shelby County, Alabama",AL,0.1422,0.1809,0.1056,0.12,Very Low Vulnerability,0.25,Low Concern
02016,"Aleutians West Census Area, Alaska",AK,0.2361,0.2884,0.1704,0.49,Moderate Vulnerability,0.77,High Concern
01125,"Tuscaloosa County, Alabama",AL,0.16,0.2197,0.1205,0.63,High Vulnerability,0.58,Moderate Concern
02050,"Bethel Census Area, Alaska",AK,0.2361,0.2884,0.1704,0.97,Very High Vulnerability,0.89,Very High Concern
13117,"Forsyth County, Georgia",GA,0.1049,0.1435,0.0651,0.04,Very Low Vulnerability,0.44,Moderate Concern
13127,"Glynn County, Georgia",GA,0.1536,0.2237,0.0964,0.72,High Vulnerability,0.65,High Concern
13137,"Habersham County, Georgia",GA,0.1656,0.2358,0.1061,0.71,High Vulnerability,0.72,High Concern
13145,"Harris County, Georgia",GA,0.1556,0.2329,0.0991,0.13,Very Low Vulnerability,0.48,Moderate Concern
